timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746380454671,599,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-391,text,false,,2631,0,693,693,http://localhost:3001/characters,0,0,599
1746380454671,576,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-358,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,576
1746380454680,567,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-216,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,567
1746380454626,624,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-526,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,624
1746380454792,455,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-274,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,455
1746380454676,571,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-204,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,571
1746380454629,619,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-500,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,619
1746380454636,614,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-356,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,614
1746380454650,600,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-551,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,600
1746380454729,521,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-408,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,521
1746380454776,474,GET characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",thread_100_1_1 1-647,text,false,,2631,0,705,705,http://localhost:3001/characters,0,0,474
