timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746381386197,48,GET characters,200,OK,thread_1000_1_infinite 1-250,text,true,,16487,158,1000,1000,http://localhost:3001/characters,48,0,0
1746381386198,48,GET character id,200,OK,thread_1000_1_infinite 1-253,text,true,,273,159,1000,1000,http://localhost:3001/character/2,48,0,0
1746381386197,49,POST character ,201,Created,thread_1000_1_infinite 1-161,text,true,,274,217,1000,1000,http://localhost:3001/character,49,0,0
1746381386198,48,POST character ,201,Created,thread_1000_1_infinite 1-183,text,true,,274,217,1000,1000,http://localhost:3001/character,48,0,0
1746381386198,49,GET characters,200,OK,thread_1000_1_infinite 1-242,text,true,,16557,158,1000,1000,http://localhost:3001/characters,49,0,0
1746381386199,48,GET characters,200,OK,thread_1000_1_infinite 1-92,text,true,,16557,158,1000,1000,http://localhost:3001/characters,48,0,0
1746381386199,48,GET characters,200,OK,thread_1000_1_infinite 1-196,text,true,,16557,158,1000,1000,http://localhost:3001/characters,48,0,0
1746381386199,49,GET character id,200,OK,thread_1000_1_infinite 1-257,text,true,,273,159,1000,1000,http://localhost:3001/character/2,49,0,0
1746381386200,48,DELETE character,200,OK,thread_1000_1_infinite 1-166,text,true,,293,183,1000,1000,http://localhost:3001/character/439,48,0,0
1746381386200,48,GET character id,200,OK,thread_1000_1_infinite 1-144,text,true,,273,159,1000,1000,http://localhost:3001/character/2,48,0,0
1746381386201,47,DELETE character,200,OK,thread_1000_1_infinite 1-181,text,true,,293,183,1000,1000,http://localhost:3001/character/440,47,0,0
1746381386201,48,POST character ,201,Created,thread_1000_1_infinite 1-201,text,true,,274,217,1000,1000,http://localhost:3001/character,48,0,0
1746381386201,48,POST character ,201,Created,thread_1000_1_infinite 1-80,text,true,,274,217,1000,1000,http://localhost:3001/character,48,0,0
